NAME,PARKTYPE,OWNER,OWNERTYPE,CalcAcreage,LINK,LOCATION,Baseball_Softball_Fields,Basketball_Court,Multi_use_Slab,Open_Play_Field,Sand_Volleyball_Courts,Soccer_Multipurpose_Fields,Tennis_Practice_Walls,Tennis_Courts,Gift_Pro_Shop,Shelter_Reservation_Rental_Acc,Playgrounds,Picnic_Shelters,GRILLS,TABLES,REST_ROOMS,Concession_Vending,Amphitheater,Climbing_Boulders,Lake_for_Boating_Fishing,Ropes_Course,Skate_Ramps,Disc_Golf_Course,Dog_Exercise_Areas,Trails_Walking_Paths,Access_To_Greenway,x,y,Lat,Lon
Preston Fields,Community Park,Cary,Local,14.99,,801 High House Road,0,0,0,0,0,2,0,0,F,F,0,0,F,F,F,F,F,F,F,F,F,F,F,T,T,2049910.1071,742142.28825,35.789020296,-78.83171057
R.S. Dunham Park,Neighborhood Park,Cary,Local,5.62,http://townofcary.org/depts/prdept/parks/dunham.htm,519 Walnut Street,0,862,0,0,0,0,1,5,F,F,1,0,F,T,T,F,F,F,F,F,F,F,F,F,F,2068192.1101,738163.23075,35.77798793,-78.77009765
Robert V. Godbold Park,Neighborhood Park,Cary,Local,24.62,http://townofcary.org/depts/prdept/parks/godbold.htm,2050 NW Maynard Road,0,2,0,1,0,0,0,6,T,T,1,0,F,T,T,T,F,F,F,F,T,F,F,T,T,2061831.6966,745712.823,35.798767407,-78.79148757
Rose Street Park,Mini Park,Cary,Local,0.63,http://townofcary.org/depts/prdept/parks/rose.htm,110 Rose Street,0,1,0,0,0,0,0,0,F,F,1,0,F,T,F,F,F,F,F,F,F,F,F,F,F,2063982.0444,736287.02025,35.772859381,-78.78430513
Sears Farm Road Park,Neighborhood Park,Cary,Local,13.21,http://www.townofcary.org/depts/prdept/parks/searsfarm.htm,5077 Sears Farm Road,0,1,0,1,0,0,0,0,F,F,1,1,T,T,T,F,F,F,F,F,F,F,F,F,T,2034904.6667,745723.191,35.79891744,-78.8822923
Thomas E. Brooks Park,Community Park,Cary,Local,163.72,http://www.townofcary.org/depts/prdept/parks/brooks.htm,9008 Green Level Church Road,0,23.99,7503,0,0,2,0,0,F,T,2,2,F,T,T,T,F,F,F,F,F,F,F,T,T,2031737.988,743442.3945,35.792661291,-78.89297946
Thomas E. Brooks Park - USA Baseball NTC,Venue,Cary,Local,52.77,http://www.townofcary.org/depts/prdept/sports/usabaseball/,7445 Green Hope School Road,4,0,0,0,0,0,0,0,T,F,0,0,F,F,T,T,F,F,F,F,F,F,F,T,T,2031848.0911,745616.2275,35.798633102,-78.89260026
Urban Park,Mini Park,Cary,Local,1.15,http://townofcary.org/depts/prdept/parks/urban.htm,414 E Chatham Street,0,1,0,0,0,0,0,0,F,F,1,0,F,T,F,F,F,F,F,F,F,F,F,F,F,2067622.3571,742026.00975,35.788603715,-78.77198859
WakeMed Soccer Park,Venue,State,State,163.3,http://www.townofcary.org/depts/prdept/soccerpark/socceroverview.htm,950 E Chatham Street,0,0,0,0,0,8,0,0,F,F,0,0,F,F,T,T,F,F,F,F,F,F,F,T,F,2072699.3047,740733.52275,35.785019645,-78.75488079
Walnut Street Park,Neighborhood Park,Cary,Local,12.7,http://www.townofcary.org/depts/prdept/parks/walnutpark.htm,1420 Walnut Street,0,0,0,1,0,0,0,0,F,F,1,2,F,F,T,F,F,F,F,F,F,F,F,T,F,2073029.0986,733068.972,35.763960606,-78.75383291
White Oak Park,Neighborhood Park,Cary,Local,11.83,http://townofcary.org/depts/prdept/parks/white.htm,1216 Jenks Carpenter Road,0,1,1,1,0,0,0,0,F,T,1,1,F,T,T,F,F,F,F,F,F,F,F,T,T,2041781.8823,737204.58825,35.775489748,-78.85914132
White Plains Cemetery,Special Use Park,Cary,Local,0.11,,100 Tolliver Court,0,936,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,2069429.4921,731477.9265,35.759613431,-78.76597909
